transaction_id,user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
TXN00665,U00665,32,Female,4.48,1.64,0.18,0.65,7.37,192,133,5.93,High,No,None,0
TXN00666,U00666,19,Male,3.1,1.13,3.67,2.3,7.87,144,133,3.77,High,Yes,Mild,0
TXN00667,U00667,33,Other,10.38,5.13,0.68,0.6,4.95,95,46,12.22,Medium,Yes,Moderate,1
TXN00668,U00668,18,Female,9.1,1.34,1.43,1.69,4.66,192,151,10.14,High,Yes,Moderate,1
TXN00669,U00669,27,Female,7.0,3.79,0.19,2.58,5.41,83,110,9.77,Low,Yes,Mild,0
TXN00670,U00670,18,Male,11.9,2.35,0.77,4.18,5.49,245,39,14.39,High,Yes,Moderate,1
TXN00671,U00671,31,Male,7.61,4.99,1.29,3.95,7.31,158,116,10.46,Low,Yes,Moderate,1
TXN00672,U00672,29,Male,5.91,0.58,2.62,0.57,5.46,76,31,8.05,Medium,No,None,0
TXN00673,U00673,24,Other,6.7,4.72,2.0,5.95,7.71,222,160,7.63,Low,No,Severe,1
TXN00674,U00674,22,Other,5.99,3.99,3.54,2.25,8.33,143,32,7.33,High,No,Mild,0
TXN00675,U00675,25,Male,7.53,4.38,0.05,0.62,7.92,51,94,8.62,Medium,Yes,Moderate,1
TXN00676,U00676,22,Female,6.37,2.13,0.61,1.62,4.67,205,168,9.34,Medium,No,Mild,0
TXN00677,U00677,28,Male,8.79,4.68,2.08,5.88,7.42,93,21,9.86,High,No,Severe,1
TXN00678,U00678,24,Female,7.85,5.49,2.66,1.87,7.59,204,71,9.87,Medium,No,Moderate,1
TXN00679,U00679,18,Other,3.58,3.2,3.81,0.79,8.96,72,47,4.31,High,Yes,None,0
TXN00680,U00680,20,Female,6.84,3.07,0.66,1.59,6.41,175,78,8.1,High,No,Mild,0
TXN00681,U00681,33,Female,3.72,5.85,1.59,1.42,6.49,149,171,6.06,Low,No,Moderate,1
TXN00682,U00682,31,Female,10.69,4.67,3.69,3.77,5.19,206,59,11.83,Medium,No,Severe,1
TXN00683,U00683,30,Female,8.06,3.14,1.33,4.43,5.38,68,16,8.59,High,No,Severe,1
TXN00684,U00684,31,Other,11.46,5.84,1.49,3.19,7.38,170,33,12.98,Low,Yes,Severe,1
TXN00685,U00685,23,Female,4.75,2.9,1.02,5.52,7.75,150,140,6.84,Medium,Yes,Mild,0
TXN00686,U00686,25,Female,5.18,0.69,3.25,3.97,7.54,198,180,6.05,High,No,None,0
TXN00687,U00687,25,Female,8.42,5.73,3.37,0.57,7.97,184,113,9.91,High,Yes,Moderate,1
TXN00688,U00688,23,Other,10.47,1.89,1.21,5.82,7.46,117,165,11.74,Medium,Yes,Moderate,1
TXN00689,U00689,29,Other,10.33,1.98,0.84,4.62,7.65,21,58,12.87,Low,Yes,Moderate,1
TXN00690,U00690,31,Other,7.72,4.1,2.93,1.44,6.19,200,49,8.72,Low,Yes,Severe,1
TXN00691,U00691,24,Male,4.67,0.82,0.73,4.68,5.67,250,119,6.27,High,Yes,None,0
TXN00692,U00692,27,Male,3.77,1.19,0.26,0.66,5.56,144,40,4.29,Medium,Yes,None,0
TXN00693,U00693,24,Female,7.7,0.54,2.41,5.93,7.93,144,136,10.09,High,No,Moderate,1
TXN00694,U00694,28,Other,12.0,4.99,3.76,4.16,6.2,34,106,14.68,Low,Yes,Severe,1
TXN00695,U00695,30,Other,9.53,5.38,0.56,3.81,8.41,91,78,10.95,High,No,Severe,1
TXN00696,U00696,24,Male,3.03,4.01,3.77,2.27,7.35,243,26,5.95,High,No,Severe,1
TXN00697,U00697,33,Other,6.6,3.87,0.33,2.85,8.69,141,40,8.94,Medium,Yes,Mild,0
TXN00698,U00698,34,Other,3.29,3.24,0.35,5.08,8.98,243,134,4.21,Medium,Yes,Mild,0
TXN00699,U00699,35,Male,5.17,1.66,3.01,4.13,4.9,131,22,6.07,Medium,No,Mild,0
TXN00700,U00700,26,Other,8.99,5.73,2.68,4.16,8.65,182,140,9.72,High,No,Moderate,1
TXN00701,U00701,20,Female,8.8,2.57,2.87,4.55,6.22,184,158,11.72,Medium,Yes,Moderate,1
TXN00702,U00702,21,Female,5.62,1.11,1.36,3.76,5.35,49,161,7.04,Medium,No,None,0
TXN00703,U00703,19,Female,8.31,1.54,1.55,2.83,7.97,224,47,10.11,High,Yes,Moderate,1
TXN00704,U00704,18,Other,7.84,3.03,0.58,5.69,8.27,147,131,8.71,Medium,Yes,Mild,0
TXN00705,U00705,28,Male,5.78,5.95,0.49,5.98,7.68,142,176,8.35,Medium,No,Severe,1
TXN00706,U00706,28,Female,4.37,4.44,3.39,5.64,5.51,208,28,7.18,Low,No,Severe,1
TXN00707,U00707,23,Other,11.92,3.51,1.35,4.23,8.96,213,115,13.4,High,No,Severe,1
TXN00708,U00708,24,Other,9.31,3.51,0.39,2.28,8.06,241,28,11.93,High,No,Severe,1
TXN00709,U00709,23,Other,8.19,2.93,1.93,5.43,5.44,225,65,10.53,Low,No,Moderate,1
TXN00710,U00710,22,Other,6.39,5.9,2.72,1.43,4.75,111,136,7.34,Low,Yes,Severe,1
TXN00711,U00711,31,Female,11.73,3.95,1.62,0.69,5.58,145,92,13.95,Low,No,Moderate,1
TXN00712,U00712,30,Other,5.48,4.09,1.47,1.16,4.87,145,179,7.65,High,Yes,Moderate,1
TXN00713,U00713,33,Male,5.46,4.6,3.18,1.5,6.68,185,126,6.71,Low,Yes,Severe,1
TXN00714,U00714,35,Other,4.66,4.97,0.08,3.56,6.91,227,150,6.38,High,Yes,Moderate,1
TXN00715,U00715,21,Other,4.63,3.8,0.72,3.55,8.1,51,25,5.45,Low,Yes,None,0
TXN00716,U00716,26,Female,10.66,0.69,3.92,3.28,6.14,159,58,12.22,High,Yes,Moderate,1
TXN00717,U00717,19,Other,11.52,3.36,3.13,4.13,6.5,167,140,13.76,High,No,Moderate,1
TXN00718,U00718,21,Male,8.96,0.75,0.15,1.28,8.35,75,49,10.97,Low,No,Severe,1
TXN00719,U00719,31,Male,3.67,1.9,1.53,5.47,6.3,41,80,5.86,High,Yes,None,0
TXN00720,U00720,26,Female,11.96,4.33,0.77,2.55,7.46,230,145,13.97,Medium,Yes,Severe,1
TXN00721,U00721,30,Female,3.23,3.82,0.31,1.19,4.99,160,119,3.89,High,Yes,Mild,0
TXN00722,U00722,26,Other,4.32,4.89,1.09,1.04,8.91,76,111,7.2,Low,Yes,Severe,1
TXN00723,U00723,33,Other,3.86,2.42,2.29,2.05,5.72,45,27,4.79,Medium,Yes,Mild,0
TXN00724,U00724,35,Female,7.97,5.35,1.61,3.76,5.67,195,146,10.25,High,Yes,Moderate,1
TXN00725,U00725,26,Female,3.48,4.49,3.9,4.39,5.62,175,122,5.75,Low,No,Severe,1
TXN00726,U00726,34,Female,5.58,5.74,2.08,4.45,8.66,78,93,7.67,Low,No,Severe,1
TXN00727,U00727,20,Other,8.71,0.92,0.96,1.01,7.09,41,88,10.6,Medium,Yes,Severe,1
TXN00728,U00728,34,Other,11.39,1.25,1.99,4.27,7.55,156,46,12.9,High,Yes,Moderate,1
TXN00729,U00729,31,Other,9.32,4.62,0.98,4.56,8.78,230,150,11.53,Low,No,Moderate,1
TXN00730,U00730,34,Female,11.13,1.46,1.47,1.23,6.09,33,123,12.87,Low,No,Moderate,1
TXN00731,U00731,25,Female,10.49,5.18,3.43,2.1,6.67,87,69,11.0,High,No,Moderate,1
TXN00732,U00732,34,Male,10.43,0.69,1.85,3.9,6.7,111,16,12.47,Medium,No,Severe,1
TXN00733,U00733,18,Female,6.15,4.47,1.61,0.55,6.44,70,36,7.97,Low,No,Moderate,1
TXN00734,U00734,18,Other,4.4,4.11,0.9,2.67,5.85,129,61,6.24,Medium,Yes,Severe,1
TXN00735,U00735,32,Female,4.46,2.45,1.74,2.48,8.42,70,43,5.43,Low,Yes,Mild,0
TXN00736,U00736,28,Female,11.11,1.38,0.8,3.14,7.49,88,45,12.66,High,No,Moderate,1
TXN00737,U00737,30,Male,7.52,5.58,3.37,2.64,4.99,47,20,8.34,Medium,Yes,Moderate,1
TXN00738,U00738,28,Female,6.87,3.78,0.03,3.14,5.77,41,124,7.99,Low,Yes,Mild,0
TXN00739,U00739,21,Other,10.78,5.97,0.99,5.01,5.39,200,41,13.03,High,Yes,Moderate,1
TXN00740,U00740,22,Female,5.06,1.23,0.15,5.95,8.68,129,19,7.1,Low,Yes,Mild,0
TXN00741,U00741,34,Female,5.76,3.98,0.93,2.35,6.66,150,124,7.87,Medium,Yes,Mild,0
TXN00742,U00742,26,Female,11.49,4.41,0.99,5.42,5.32,20,28,13.64,Medium,Yes,Severe,1
TXN00743,U00743,26,Female,11.18,1.05,0.74,5.72,6.14,97,43,11.92,Low,Yes,Severe,1
TXN00744,U00744,29,Male,9.69,3.74,2.42,1.81,5.74,169,113,10.41,Low,Yes,Moderate,1
TXN00745,U00745,24,Male,4.74,2.95,0.39,5.68,7.29,97,136,7.71,Low,Yes,None,0
TXN00746,U00746,24,Male,6.76,4.41,3.57,4.68,8.31,163,103,9.5,Medium,Yes,Severe,1
TXN00747,U00747,33,Other,6.77,5.62,2.02,0.62,7.2,198,48,7.99,High,Yes,Moderate,1
TXN00748,U00748,30,Male,7.46,3.43,2.05,0.91,6.47,150,113,9.37,Medium,No,Moderate,1
TXN00749,U00749,23,Male,3.03,3.65,2.37,0.55,8.68,151,131,4.79,High,No,Mild,0
TXN00750,U00750,27,Male,9.37,3.54,0.68,0.75,5.57,30,178,10.24,Medium,Yes,Severe,1
TXN00751,U00751,25,Female,11.91,1.65,0.46,4.07,7.35,114,98,12.62,High,No,Moderate,1
TXN00752,U00752,27,Other,5.92,0.81,3.26,5.03,5.49,91,60,7.06,Low,Yes,Mild,0
TXN00753,U00753,26,Male,10.83,3.99,2.2,4.99,5.49,88,67,12.78,Medium,Yes,Severe,1
TXN00754,U00754,31,Male,6.32,5.46,0.37,1.5,5.33,240,60,7.29,Medium,Yes,Severe,1
TXN00755,U00755,27,Other,4.47,1.48,1.58,3.84,4.81,38,124,5.58,High,No,None,0
TXN00756,U00756,34,Male,4.24,4.63,0.05,1.05,6.23,48,18,6.65,High,Yes,Moderate,1
TXN00757,U00757,20,Male,5.41,5.66,2.4,4.86,4.54,222,42,7.27,Medium,Yes,Moderate,1
TXN00758,U00758,33,Male,9.84,5.41,3.26,2.19,6.66,82,29,11.7,Medium,Yes,Moderate,1
TXN00759,U00759,21,Other,7.9,1.06,3.55,2.78,4.51,77,21,8.97,Medium,Yes,Moderate,1
TXN00760,U00760,27,Female,5.03,5.33,1.54,5.36,8.2,48,140,5.95,Low,Yes,Moderate,1
TXN00761,U00761,29,Other,3.69,2.34,1.44,5.59,4.88,31,169,4.57,Medium,No,None,0
TXN00762,U00762,31,Other,4.35,4.17,1.21,5.0,6.07,46,84,7.14,High,No,Severe,1
TXN00763,U00763,20,Other,10.1,5.24,3.91,4.78,5.16,57,114,11.72,Medium,Yes,Moderate,1
TXN00764,U00764,31,Other,11.64,2.03,0.36,5.97,5.32,118,105,12.94,Medium,No,Severe,1
TXN00765,U00765,28,Male,4.24,5.69,3.69,2.61,6.97,157,151,5.97,High,Yes,Severe,1
TXN00766,U00766,31,Male,7.74,4.77,3.25,1.71,4.89,112,15,8.75,Low,No,Severe,1
TXN00767,U00767,21,Male,3.54,2.42,3.4,5.27,8.19,95,132,4.4,High,No,None,0
TXN00768,U00768,25,Female,3.5,1.26,3.85,4.37,6.2,26,123,4.93,High,Yes,None,0
TXN00769,U00769,23,Other,3.27,2.51,0.32,0.92,7.06,228,121,4.14,Low,No,None,0
TXN00770,U00770,34,Other,9.29,2.15,1.65,2.36,8.02,197,18,10.51,Low,Yes,Moderate,1
TXN00771,U00771,23,Female,7.53,0.56,3.33,4.24,8.44,161,81,10.33,High,No,Mild,0
TXN00772,U00772,23,Other,5.45,1.01,1.51,5.73,7.84,122,173,6.09,Medium,Yes,None,0
TXN00773,U00773,32,Male,7.3,4.09,1.62,2.59,4.75,115,180,8.86,Medium,Yes,Moderate,1
TXN00774,U00774,29,Other,8.43,5.16,0.11,2.05,6.94,36,69,10.42,Medium,Yes,Moderate,1
TXN00775,U00775,19,Female,5.16,0.97,2.28,0.75,8.94,143,26,5.78,Low,No,None,0
TXN00776,U00776,27,Male,11.63,3.25,1.26,2.65,6.1,53,39,12.96,High,Yes,Moderate,1
TXN00777,U00777,30,Other,7.29,5.28,0.15,1.39,7.57,40,175,8.02,High,Yes,Moderate,1
TXN00778,U00778,22,Female,9.92,1.39,3.85,3.34,7.78,186,148,12.75,Medium,No,Moderate,1
TXN00779,U00779,27,Other,6.24,5.21,1.72,5.4,7.98,119,76,7.26,High,Yes,Moderate,1
TXN00780,U00780,33,Female,3.88,0.58,3.07,2.2,8.4,224,37,5.63,Medium,No,None,0
TXN00781,U00781,23,Male,3.61,3.67,1.41,0.89,7.7,137,81,6.58,Medium,No,None,0
TXN00782,U00782,33,Male,3.36,5.22,1.6,5.21,8.63,53,127,4.78,High,No,Severe,1
TXN00783,U00783,31,Male,7.55,1.95,3.5,4.25,7.29,184,29,9.9,Low,Yes,Mild,0
TXN00784,U00784,27,Male,6.38,3.64,3.42,1.73,8.43,191,38,7.75,Medium,No,Mild,0
TXN00785,U00785,23,Other,9.59,5.55,3.69,4.73,5.4,104,31,10.88,High,No,Moderate,1
TXN00786,U00786,33,Female,4.03,3.0,2.18,5.72,5.15,74,96,5.95,High,No,None,0
TXN00787,U00787,31,Male,11.81,1.67,0.85,0.63,7.91,128,84,12.94,Low,Yes,Moderate,1
TXN00788,U00788,26,Female,6.65,2.14,2.85,5.29,6.86,191,81,7.61,Low,Yes,Moderate,1
TXN00789,U00789,27,Other,4.48,2.42,1.68,3.12,7.6,61,126,5.87,High,No,None,0
TXN00790,U00790,24,Female,3.7,4.17,2.47,2.28,8.94,207,96,4.24,Medium,Yes,Severe,1
TXN00791,U00791,21,Male,10.13,4.21,1.05,4.47,8.95,233,47,12.22,High,Yes,Moderate,1
TXN00792,U00792,24,Female,6.78,3.5,0.66,2.58,6.07,68,162,9.67,Medium,No,Mild,0
TXN00793,U00793,27,Male,7.52,5.27,2.8,4.07,6.55,125,105,8.9,High,No,Severe,1
TXN00794,U00794,23,Male,7.13,2.55,2.21,1.39,6.46,92,126,9.22,High,Yes,Mild,0
TXN00795,U00795,20,Female,8.85,3.89,1.65,3.23,7.88,159,40,10.93,High,Yes,Severe,1
TXN00796,U00796,24,Male,5.01,3.0,1.52,1.58,6.61,51,104,7.93,Medium,No,Mild,0
TXN00797,U00797,29,Male,10.04,3.29,1.07,4.12,5.88,223,121,12.22,Low,No,Moderate,1
TXN00798,U00798,18,Male,4.38,2.56,3.27,5.01,7.2,105,58,7.28,Medium,Yes,Mild,0
TXN00799,U00799,30,Male,10.46,4.91,2.31,1.21,7.36,206,59,11.97,Medium,Yes,Severe,1
TXN00800,U00800,21,Male,9.39,1.19,0.47,3.67,6.26,215,175,12.18,High,Yes,Severe,1
TXN00801,U00801,20,Other,3.84,2.91,2.52,3.76,4.63,201,154,6.64,Low,No,None,0
TXN00802,U00802,22,Other,11.85,3.99,3.11,1.53,7.44,76,91,12.83,Low,No,Severe,1
TXN00803,U00803,19,Male,5.47,5.64,2.51,4.01,7.11,46,43,7.12,High,Yes,Moderate,1
TXN00804,U00804,27,Female,5.36,1.49,0.31,5.15,8.61,73,115,6.11,Low,No,None,0
TXN00805,U00805,20,Female,4.89,2.81,3.56,3.98,6.53,61,61,6.14,Low,Yes,None,0
TXN00806,U00806,29,Male,7.36,3.88,2.19,1.37,7.84,51,64,9.38,High,Yes,Mild,0
TXN00807,U00807,29,Other,4.03,1.69,1.31,1.71,7.77,52,83,5.21,Low,Yes,Mild,0
TXN00808,U00808,35,Male,8.87,3.07,3.24,2.9,8.76,69,79,9.8,High,No,Severe,1
TXN00809,U00809,27,Female,4.49,1.63,2.89,2.88,6.51,172,84,7.03,High,Yes,Mild,0
TXN00810,U00810,24,Female,8.1,2.56,2.53,0.85,5.25,28,145,9.23,Medium,No,Severe,1
TXN00811,U00811,18,Female,4.03,4.95,1.72,1.52,5.6,75,110,5.46,Medium,Yes,Moderate,1
TXN00812,U00812,18,Other,9.45,1.68,2.27,2.27,5.55,36,113,10.66,Low,Yes,Moderate,1
TXN00813,U00813,26,Male,9.45,5.7,3.23,4.19,7.08,185,122,11.66,Medium,No,Severe,1
TXN00814,U00814,24,Other,3.45,3.22,0.19,2.01,5.04,135,58,5.45,High,No,None,0
TXN00815,U00815,18,Female,5.57,4.04,3.42,5.93,8.6,92,48,8.17,Medium,Yes,Moderate,1
TXN00816,U00816,18,Other,3.63,1.02,3.21,4.48,5.74,212,103,5.13,High,No,Mild,0
TXN00817,U00817,19,Male,6.54,4.33,1.82,5.17,8.85,51,110,9.38,Low,Yes,Moderate,1
TXN00818,U00818,18,Female,4.25,5.96,3.45,4.48,5.52,42,63,6.56,Medium,Yes,Moderate,1
TXN00819,U00819,19,Male,4.0,5.71,0.3,2.31,7.26,227,112,5.17,Low,Yes,Severe,1
TXN00820,U00820,22,Other,5.87,1.31,2.34,5.18,8.53,183,129,8.04,High,Yes,Mild,0
TXN00821,U00821,33,Male,11.79,2.27,2.92,1.74,5.69,95,36,13.17,Low,Yes,Moderate,1
TXN00822,U00822,33,Other,3.54,0.57,0.86,5.0,5.35,46,102,4.56,High,No,Mild,0
TXN00823,U00823,32,Male,8.9,5.16,0.42,1.22,8.63,118,130,11.57,High,Yes,Severe,1
TXN00824,U00824,20,Male,5.5,1.4,1.23,5.28,7.42,57,133,8.19,High,Yes,None,0
TXN00825,U00825,32,Other,4.68,0.66,2.65,2.99,5.7,160,36,6.07,Low,Yes,Mild,0
TXN00826,U00826,31,Other,7.57,0.79,1.09,1.04,7.42,207,123,8.55,Low,No,Mild,0
TXN00827,U00827,26,Male,7.77,3.21,1.73,4.25,7.41,48,71,8.56,Low,No,Mild,0
TXN00828,U00828,35,Male,3.91,1.75,2.48,4.44,6.26,45,71,6.24,High,No,Mild,0
TXN00829,U00829,23,Other,10.07,2.41,1.15,3.78,7.8,44,62,11.83,High,No,Severe,1
TXN00830,U00830,25,Male,4.53,4.25,0.67,2.33,6.55,23,136,6.1,Low,Yes,Severe,1
TXN00831,U00831,23,Male,9.11,5.19,2.38,5.83,7.12,145,78,10.79,Low,Yes,Severe,1
TXN00832,U00832,34,Female,7.53,4.65,3.1,1.05,8.12,105,130,9.26,Medium,No,Severe,1
TXN00833,U00833,29,Female,7.13,5.05,1.2,2.34,6.83,189,167,8.84,Medium,Yes,Moderate,1
TXN00834,U00834,25,Other,8.93,1.28,1.99,1.84,7.83,130,107,9.95,Low,Yes,Severe,1
TXN00835,U00835,21,Female,11.69,5.32,2.72,5.45,6.52,244,149,12.63,High,No,Severe,1
TXN00836,U00836,31,Male,11.51,2.02,0.76,3.69,7.66,233,171,12.32,Medium,No,Severe,1
TXN00837,U00837,18,Male,7.49,4.27,1.87,1.33,8.85,179,157,9.65,Medium,No,Severe,1
TXN00838,U00838,27,Female,3.14,0.73,1.13,3.76,4.74,98,16,4.72,High,Yes,None,0
TXN00839,U00839,22,Other,6.15,2.06,3.44,4.16,7.96,59,37,8.43,Low,Yes,Moderate,1
TXN00840,U00840,20,Other,5.62,0.68,3.73,1.87,7.55,118,123,7.12,Low,No,Mild,0
TXN00841,U00841,27,Female,4.56,2.9,3.5,4.92,5.13,216,66,5.69,Medium,Yes,Mild,0
TXN00842,U00842,20,Other,5.68,5.6,1.84,1.51,8.02,233,126,6.42,High,No,Severe,1
TXN00843,U00843,29,Other,7.22,2.85,1.68,2.76,4.62,163,21,10.11,Medium,Yes,Mild,0
TXN00844,U00844,27,Other,10.08,3.69,1.49,3.91,8.55,244,90,10.71,Medium,Yes,Severe,1
TXN00845,U00845,18,Other,7.17,4.7,2.07,5.12,4.88,89,42,8.5,Low,No,Severe,1
TXN00846,U00846,28,Male,10.78,1.17,2.34,3.31,7.73,199,67,12.57,High,No,Moderate,1
TXN00847,U00847,22,Other,5.71,2.21,3.96,0.54,6.68,196,66,6.5,Low,Yes,None,0
TXN00848,U00848,21,Other,5.22,1.07,0.1,3.28,6.26,51,91,6.73,Low,Yes,Mild,0
TXN00849,U00849,32,Female,10.73,3.89,1.73,4.0,5.33,229,76,11.66,High,Yes,Severe,1
TXN00850,U00850,27,Female,5.61,1.05,2.36,2.52,5.74,118,42,7.27,Medium,Yes,None,0
TXN00851,U00851,32,Other,4.08,2.64,2.32,0.69,7.43,188,173,5.69,Medium,Yes,Mild,0
TXN00852,U00852,32,Female,5.49,5.9,1.43,5.21,6.76,109,149,6.97,Low,Yes,Moderate,1
TXN00853,U00853,28,Female,7.14,5.22,0.56,4.82,7.46,120,32,9.93,High,No,Severe,1
TXN00854,U00854,23,Male,8.18,5.6,3.1,3.39,5.08,102,165,11.07,Medium,No,Moderate,1
TXN00855,U00855,18,Male,10.67,1.38,0.39,1.08,8.7,141,97,13.07,High,Yes,Moderate,1
TXN00856,U00856,30,Female,9.8,2.81,0.26,3.87,5.02,236,33,11.4,Medium,Yes,Moderate,1
TXN00857,U00857,21,Other,9.29,2.58,3.96,3.66,5.4,84,140,10.88,Medium,Yes,Moderate,1
TXN00858,U00858,23,Female,6.91,3.41,3.16,0.97,4.61,191,39,7.92,Low,Yes,Moderate,1
TXN00859,U00859,35,Female,10.78,2.37,2.73,5.77,7.78,155,142,11.76,Low,No,Severe,1
TXN00860,U00860,35,Male,10.68,4.91,1.76,3.94,8.43,165,35,11.5,High,No,Moderate,1
TXN00861,U00861,33,Female,5.08,3.81,1.32,1.73,8.73,232,79,6.56,Medium,Yes,None,0
TXN00862,U00862,20,Other,7.81,1.83,2.07,3.86,5.91,178,29,9.67,Low,No,Moderate,1
TXN00863,U00863,18,Female,3.29,2.82,0.8,5.38,4.77,72,155,5.83,Medium,Yes,None,0
TXN00864,U00864,20,Male,10.25,3.6,2.44,5.09,8.13,108,33,13.12,High,Yes,Severe,1
TXN00865,U00865,26,Male,9.51,1.07,1.99,1.74,6.08,142,92,11.96,Low,Yes,Moderate,1
TXN00866,U00866,24,Other,7.81,5.23,2.73,4.56,6.99,33,114,10.22,High,Yes,Severe,1
TXN00867,U00867,31,Male,7.95,1.14,0.47,3.89,8.57,110,64,9.31,Low,Yes,Mild,0
TXN00868,U00868,18,Male,5.04,4.61,3.55,4.86,7.06,225,18,7.72,Low,Yes,Moderate,1
TXN00869,U00869,22,Male,6.95,2.05,1.26,3.81,8.51,94,48,8.97,Medium,Yes,Mild,0
TXN00870,U00870,26,Other,11.45,1.63,2.82,4.97,8.54,239,71,13.06,Medium,No,Severe,1
TXN00871,U00871,25,Male,7.74,1.97,2.79,3.27,4.74,250,120,10.0,High,No,Moderate,1
TXN00872,U00872,24,Other,11.21,5.13,2.08,2.18,6.99,51,110,13.52,Low,Yes,Moderate,1
TXN00873,U00873,32,Other,8.85,3.0,0.46,3.24,4.65,91,165,10.31,Low,Yes,Severe,1
TXN00874,U00874,30,Other,7.46,5.25,1.54,0.74,5.43,67,125,9.29,High,No,Moderate,1
TXN00875,U00875,29,Female,11.44,5.51,3.02,2.35,8.23,87,166,12.48,Low,No,Severe,1
TXN00876,U00876,19,Female,10.27,3.54,3.81,5.63,5.79,156,133,11.83,High,No,Moderate,1
TXN00877,U00877,32,Other,9.71,5.59,0.53,0.58,8.1,90,36,12.71,High,No,Severe,1
TXN00878,U00878,30,Male,3.35,2.01,1.07,1.88,7.44,217,170,3.88,Medium,No,Mild,0
TXN00879,U00879,32,Other,7.16,2.92,1.87,5.81,6.66,236,157,8.2,Low,Yes,Moderate,1
TXN00880,U00880,35,Other,5.83,0.85,0.72,4.71,5.74,242,141,6.65,High,Yes,None,0
TXN00881,U00881,19,Female,5.09,4.1,0.74,3.29,6.48,101,25,6.97,Low,Yes,Severe,1
TXN00882,U00882,18,Male,9.11,5.22,1.41,4.45,7.2,109,42,9.8,Medium,Yes,Moderate,1
TXN00883,U00883,24,Female,5.93,2.54,3.29,2.79,7.39,244,87,6.79,Medium,No,Mild,0
TXN00884,U00884,29,Other,7.24,5.85,2.49,1.38,4.7,58,166,7.8,High,Yes,Severe,1
TXN00885,U00885,34,Male,10.05,4.42,3.76,2.58,7.12,188,53,11.5,High,Yes,Moderate,1
TXN00886,U00886,34,Female,11.98,3.97,2.94,3.46,5.05,244,150,14.48,High,No,Severe,1
TXN00887,U00887,26,Female,4.76,3.66,3.64,2.31,8.1,112,74,6.4,High,Yes,None,0
TXN00888,U00888,31,Other,6.26,2.44,2.02,5.53,7.44,174,73,7.88,Medium,Yes,Mild,0
TXN00889,U00889,25,Other,9.99,2.74,2.34,1.26,5.67,93,102,11.27,Low,No,Severe,1
TXN00890,U00890,22,Male,8.18,3.98,3.09,5.45,8.44,23,57,8.98,Medium,No,Moderate,1
TXN00891,U00891,19,Other,10.5,0.63,0.67,0.9,6.82,155,114,13.26,Medium,Yes,Severe,1
TXN00892,U00892,35,Other,5.17,2.11,1.35,5.04,6.01,175,172,5.94,High,Yes,None,0
TXN00893,U00893,29,Male,11.55,5.51,2.52,4.57,6.46,213,137,13.8,High,Yes,Moderate,1
TXN00894,U00894,18,Female,8.34,2.53,2.6,2.59,6.47,150,165,9.54,Low,Yes,Severe,1
TXN00895,U00895,28,Other,3.43,3.35,2.1,3.3,8.68,93,97,4.89,Low,Yes,None,0
TXN00896,U00896,24,Male,6.87,2.03,3.52,2.23,6.06,62,45,8.09,Medium,No,Mild,0
TXN00897,U00897,27,Other,11.45,1.93,2.42,1.08,5.54,91,51,12.19,High,Yes,Moderate,1
TXN00898,U00898,19,Other,11.64,3.47,3.2,0.54,8.25,26,109,12.65,High,No,Severe,1
TXN00899,U00899,22,Other,10.48,2.12,0.44,4.38,8.3,133,125,12.21,Low,Yes,Severe,1
TXN00900,U00900,21,Male,11.72,4.92,2.98,1.72,4.83,60,144,13.06,Medium,Yes,Severe,1
TXN00901,U00901,31,Male,3.9,4.38,2.09,1.55,7.01,234,175,4.49,High,Yes,Moderate,1
TXN00902,U00902,30,Male,10.85,1.71,0.78,3.09,6.68,67,142,12.06,Low,Yes,Moderate,1
TXN00903,U00903,31,Female,3.61,3.57,0.83,1.48,6.38,87,172,5.06,High,Yes,Mild,0
TXN00904,U00904,34,Female,8.91,1.49,1.2,1.78,5.81,144,140,11.4,Medium,No,Severe,1
TXN00905,U00905,21,Female,4.97,5.8,3.59,4.7,6.39,134,98,6.09,Medium,Yes,Moderate,1
TXN00906,U00906,28,Female,8.95,2.41,1.59,1.2,8.47,235,140,10.95,High,Yes,Moderate,1
TXN00907,U00907,26,Female,7.57,5.39,3.13,0.83,7.97,86,96,9.1,Medium,No,Severe,1
TXN00908,U00908,19,Other,5.41,4.51,1.36,5.0,5.89,124,71,7.34,Low,Yes,Moderate,1
TXN00909,U00909,28,Other,4.16,3.47,3.8,0.62,6.21,219,100,6.94,High,Yes,None,0
TXN00910,U00910,24,Male,6.26,1.59,0.63,3.45,8.37,78,89,8.76,Medium,No,Moderate,1
TXN00911,U00911,35,Female,9.6,5.67,0.14,0.61,8.73,46,143,11.09,Medium,Yes,Moderate,1
TXN00912,U00912,27,Male,3.22,3.97,2.75,0.69,7.87,228,111,5.36,Low,No,None,0
TXN00913,U00913,20,Other,7.54,4.37,2.93,0.61,7.84,158,169,10.34,Low,No,Moderate,1
TXN00914,U00914,27,Female,10.06,2.84,2.97,2.16,6.57,45,82,12.98,High,No,Severe,1
TXN00915,U00915,31,Female,3.84,5.82,2.24,3.16,8.58,156,144,4.95,Low,No,Severe,1
